name,description,business_context
sale_id,A unique identifier assigned to each individual sales transaction. This serves as the primary key for the fact table.,"Used to uniquely identify and track every single sale event, enabling granular analysis, auditing, and joining with other sales-related data. Essential for understanding individual transaction details and for data integrity."
product_id,An identifier that uniquely references a specific product involved in the sale.,"Links the sales record to the `dim_product` table, providing detailed information about the product sold (e.g., name, category, brand, SKU). Critical for analyzing product performance, sales by category, and inventory management."
vendor_id,An identifier that uniquely references the vendor or supplier of the product sold.,"Links the sales record to the `dim_vendor` table, allowing analysis of sales performance attributed to specific vendors. Useful for vendor management, procurement optimization, and evaluating supplier impact on sales."
location_id,An identifier that uniquely references the physical or virtual location where the sale transaction occurred.,"Links the sales record to the `dim_location` table (e.g., store, warehouse, region, website). Enables geographical or store-specific sales analysis, understanding regional performance, and optimizing store operations or online fulfillment."
channel_id,An identifier that uniquely references the sales channel through which the transaction was completed.,"Links the sales record to the `dim_channel` table (e.g., online, in-store, mobile app, call center). Allows for analysis of sales performance across different channels, crucial for multi-channel strategy, channel optimization, and customer journey mapping."
date_id,The calendar date on which the sales transaction was recorded.,"Used for time-based analysis, enabling aggregation of sales data by day, week, month, quarter, or year. Essential for trend analysis, seasonality detection, period-over-period comparisons, and financial reporting."
sale_timestamp,The exact date and time when the sales transaction was completed and recorded in the system.,"Provides a precise timestamp for the sale, enabling granular analysis of sales patterns within a day (e.g., peak hours), real-time operational insights, and detailed event sequencing. Useful for fraud detection and understanding transaction flow."
quantity_sold,The number of units of the product sold in this specific transaction line item.,"Represents the volume of products sold. Used to calculate total units sold, average units per transaction, inventory depletion rates, and is a key metric for demand forecasting and inventory planning."
total_sales,"The gross monetary value generated from this specific sale line item before any discounts, returns, or taxes are applied.","Represents the total revenue generated from the sale before adjustments. Used for calculating gross revenue, tracking sales targets, and understanding the overall top-line performance of products or channels."
margin,"The profit margin for this specific sale line item, typically calculated as (selling price - cost of goods sold).","Indicates the profitability of each individual sale. Essential for understanding product profitability, evaluating pricing strategies, assessing the financial health of product categories, and optimizing product assortment."
discount,The monetary value of any discount applied to this specific sale line item.,"Tracks the financial impact of promotional activities and discounts on sales revenue and profitability. Used to analyze the effectiveness and cost of promotions, and to understand customer price sensitivity."
net_amount,The final monetary amount received from the customer for this sale line item after applying all discounts but before taxes.,"Represents the actual revenue recognized from the sale after all adjustments. This is a critical metric for calculating net revenue, understanding the true financial intake from each transaction, and for financial reconciliation."
created_at,The timestamp indicating when this specific sales record was first created and ingested into the data system.,"Used for data lineage, auditing, and understanding the freshness of data. Helps in tracking data ingestion processes, identifying potential delays, and ensuring data quality and governance."
updated_at,The timestamp indicating when this specific sales record was last modified or updated in the system.,"Used for data auditing, tracking changes to sales records (e.g., post-sale adjustments, returns, corrections), and ensuring data accuracy and reconciliation. Important for maintaining data integrity and understanding data evolution."
